POCO,CADASTRO,OPERADOR,POCO_OPERADOR,ESTADO,BACIA,BLOCO,SIG_CAMPO,CAMPO,TERRA_MAR,POCO_POS_ANP,TIPO,CATEGORIA,RECLASSIFICACAO,SITUACAO,INICIO,TERMINO,CONCLUSAO,TITULARIDADE,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,TIPO_DE_COORDENADA_DE_BASE,DIRECAO,PROFUNDIDADE_VERTICAL_M,PROFUNDIDADE_SONDADOR_M,PROFUNDIDADE_MEDIDA_M,REFERENCIA_DE_PROFUNDIDADE,MESA_ROTATIVA,COTA_ALTIMETRICA_M,LAMINA_D_AGUA_M,DATUM_VERTICAL,UNIDADE_ESTRATIGRAFICA,GEOLOGIA_GRUPO_FINAL,GEOLOGIA_FORMACAO_FINAL,GEOLOGIA_MEMBRO_FINAL,CDPE,AGP,PC,PAG,PERFIS_CONVENCIONAIS,DURANTE_PERFURACAO,PERFIS_DIGITAIS,PERFIS_PROCESSADOS,PERFIS_ESPECIAIS,AMOSTRA_LATERAL,SISMICA,TABELA_TEMPO_PROFUNDIDADE,DADOS_DIRECIONAIS,TESTE_A_CABO,TESTE_DE_FORMACAO,CANHONEIO,TESTEMUNHO,GEOQUIMICA,SIG_SONDA,NOM_SONDA,ATINGIU_PRESAL,DHA_ATUALIZACAO
1-CES-19-CE,300960039600,Petrobras,1CES 0019  CE,CE,Ceará,CR,CR,CURIMÃ,M,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO PERMANENTEMENTE,1977-12-12,1978-01-21,1978-01-21,Público,-03:05:02,-38:48:00,"-3,084023611","-38,8000675",SIRGAS2000,Definitiva,Vertical,,2990,,MR,25,,47,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,PA-3,,,27/02/2024
1-CES-23A-CE,300960040200,Petrobras,1CES 0023A CE,CE,Ceará,EP,EP,ESPADA,M,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO PERMANENTEMENTE,1978-03-26,1978-04-25,1978-04-25,Público,-03:08:13,-38:48:51,"-3,137006944","-38,81424194",SIRGAS2000,Definitiva,Vertical,,2460,,MR,"23,7",,36,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,PA14,,,27/02/2024
1-CES-23-CE,300960040100,Petrobras,1CES 0023  CE,CE,Ceará,EP,EP,ESPADA,M,N,1,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,1978-03-26,1978-03-27,1978-03-27,Público,-03:08:13,-38:48:51,"-3,137006944","-38,81424194",SIRGAS2000,Definitiva,Vertical,,180,,MR,"23,7",,36,NM,,,,,,,,,,,,,,,,,,,,,,,PA14,,,27/02/2024
1-CES-27-CE,300960043700,Petrobras,1CES 0027  CE,CE,Ceará,AT,AT,ATUM,M,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM PETRÓLEO,ABANDONADO PERMANENTEMENTE,1979-07-01,1979-08-13,1979-08-13,Público,-02:58:31,-38:57:25,"-2,975275833","-38,95689722",SIRGAS2000,Definitiva,Vertical,,3000,,MR,26,,42,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,PA-7,,,27/02/2024
1-CES-45A-CES,300960046400,Petrobras,1CES 0045A CE,CE,Ceará,XA,XA,XARÉU,M,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1980-01-08,1980-02-04,1980-02-04,Público,-03:01:15,-39:00:05,"-3,0207925","-39,00128417",SIRGAS2000,Definitiva,Vertical,0,2450,0,MR,22,0,33,NM,,,,,,,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,PA18,,,27/02/2024
1-CES-45-CES,300960046200,Petrobras,1CES 0045  CE,CE,Ceará,XA,XA,XARÉU,M,N,1,Pioneiro,ABANDONADO POR ACIDENTE MECÂNICO,ABANDONADO PERMANENTEMENTE,1980-01-02,1980-01-04,1980-01-04,Público,-03:01:15,-39:00:05,"-3,0207925","-39,00128417",SIRGAS2000,Definitiva,Vertical,0,238,0,MR,22,0,33,NM,,,,,,,,,,,,,,,,,,,,,,,PA18,,,27/02/2024
1-CES-66A-CES,300960224200,Petrobras,1CES 0066A CE,CE,Ceará,C066,C066,ÁREA DO CES066,M,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1985-09-02,1985-09-30,1985-09-30,Público,-02:57:52,-39:00:16,"-2,964510833","-39,00458278",SIRGAS2000,Definitiva,Vertical,,2331,,MR,21,0,43,NM,,,,,,Existe,Existe,,,,Existe,,,,,,Existe,,,,,Existe,PA18,,,27/02/2024
1-CES-66-CES,300960070700,Petrobras,1CES 0066  CE,CE,Ceará,C066,C066,ÁREA DO CES066,M,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM GÁS NATURAL,ABANDONADO PERMANENTEMENTE,1981-12-02,1982-01-01,1982-01-01,Público,-02:57:52,-39:00:13,"-2,964575833","-39,00361861",SIRGAS2000,Definitiva,Vertical,,2820,,MR,20,0,44,NM,,,,,,Existe,Existe,,,,Existe,,,,Existe,Existe,,,,,,Existe,PA18,,,27/02/2024
1-CES-66DA-CES,300960229500,Petrobras,1CES 0066DACE,CE,Ceará,C066,C066,ÁREA DO CES066,M,N,1,Pioneiro,DESCOBRIDOR DE CAMPO COM GÁS NATURAL,ABANDONADO PERMANENTEMENTE,1985-10-23,1985-11-09,1985-11-09,Público,-02:57:52,-39:00:13,"-2,964575833","-39,00361861",SIRGAS2000,Definitiva,Direcional,,2359,,MR,21,0,43,NM,,,,,,Existe,Existe,,,,Existe,,,,,,,,,,,Existe,PA18,,,27/02/2024
1-CES-67-CES,300960066900,Petrobras,1CES 0067  CE,CE,Ceará,XA,XA,XARÉU,M,N,1,Pioneiro,PRODUTOR SUBCOMERCIAL DE PETRÓLEO,ABANDONADO PERMANENTEMENTE,1981-10-19,1981-10-31,1981-10-31,Público,-03:02:38,-38:59:51,"-3,0439975","-38,99736139",SIRGAS2000,Definitiva,Vertical,0,2007,0,MR,23,0,31,NM,,,,,,,Existe,,,,Existe,,,,Existe,Existe,,,,,,,PA18,,,27/02/2024
